date,time,lat,lon,cog,sog,log,wind,pressure,battery,sail,diesel_1,diesel_2,water_1,water_2,observation
22/4,13:45,"18°21.2'N","064°36.1'W",,,0,E5,1013,70,E,100,100,80,86,"Leaving Peter Island (Little Harbour) Let's go!!!"
22/4,15:39,"18°27.9'N","064°29.7'W",015,3.9,10,E9,1012,68,EM,100,100,79,84,"Raising for the very first time the mainsail :)"
22/4,18:05,"18°38.1'N","064°31.9'W",355,5.5,21,E5,1011,62,EGM,100,100,77,82,"Unfurled the genoa, smooth waters, whale spotted!"
22/4,21:00,"18°56.3'N","064°32.9'W",042,5.4,39,E6,1010,59,EM,100,100,73,83,"Waiting for the wind to sail sail sail (everything good)"
23/4,00:20,"19°13.7'N","064°29.9'W",012,5.8,57,E7,1012,56,EM,89,89,73,82,"Genoa down, rudder pos. fixed & 1st sunset!!! :)"
23/4,03:00,"19°28.6'N","064°26.7'W",011,5.9,72,N8,1004,52,EM,85,87,73,78,"One encounter visual + radio"
23/4,06:30,"19°48.2'N","064°22.5'W",012,5.1,93,NE7,1012,48,E,85,84,69,77,"Best moon set ever."
23/4,08:53,"19°59.2'N","064°20.0'W",028,,97,,1012,45,E,81,84,66,79,"Main sail down"
23/4,12:00,"20°11.7'N","064°16.4'W",014,4.2,113,,1010,61,EM,79,82,66,73,"Rough, unpleasant waves..."
23/4,15:12,"20°23.5'N","064°12.8'W",015,3.6,130,NE17,1011,83,E,75,78,63,73,"Light rain, wind increasing 17/20kts"
23/4,16:01,"20°29.4'N","064°10.6'W",011,4.6,141,S16,1006,75,E,75,77,62,73,"Tried putting mainsail up, first reef ripped in the back sheet"
23/4,21:07,"20°44.1'N","064°07.4'W",011,6.1,156,E19,1014,76,E,74,77,62,72,"Fixed, 3 reef is now 1 reef, one cargo ship, great lunch"
23/4,23:57,"20°56.1'N","064°00.4'W",044,4.0,170,NE10,1012,72,E,70,75,61,70,"Squalls, wind variable, rains"
24/4,03:00,"21°06.0'N","063°55.3'W",356,4.9,182,E17,1011,69,EM?,68,74,61,69,"We put the sail up"
24/4,09:00,"21°16.7'N","064°01.3'W",190,6.8,216,E16,1004,68,E,70,73,58,66,"After the new reef ripped earlier and the lazyjacks also broken we decided to head back to the BVI's."
24/4,12:20,"20°54.0'N","064°06.2'W",192,7.5,240,E14,1013,59,EG,65,70,47,63,"Amazing sunrise"
24/4,15:09,"20°33.6'N","064°11.3'W",193,7.7,261,ENE15,1012,57,EG,66,69,40,57,""
24/4,21:03,"19°53.6'N","064°21.7'W",197,7.7,302,E11,1010,"50%",EG,57,66,27,52,"Light wind sailing, less waves, Katsby tournament!!!"
25/4,03:05,"19°10.7'N","064°32.0'W",195,7.1,346,E13,1012,"54%",EG,49,53,69,40,""
25/4,05:58,"18°50.6'N","064°36.5'W",192,6.7,368,E14,1010,51,EG,46,48,69,40,"Land ahoy!"
25/4,10:28,"18°23.2'N","064°42.5'W",319,0.0,396,E9,1009,"46%",E,41,46,69,35,"Back in the BVI's w/ an amazing sunrise :) Anchored Soper's Hole"
26/4,12:01,"18°23.2'N","064°42.5'W",,,397,E5,1010,60,E,100,100,86,88,"Leaving Soper's Hole let's go!!!"
26/4,13:35,"18°39.9'N","064°31.1'W",037,6.5,420,SSE8,1010,82,EGM,100,100,84,85,"Set up main & genoa. Great motor sailing :)"
26/4,18:04,"18°52.6'N","064°20.1'W",038,7.0,436,SSE12,1011,79,MG,89,100,82,82,"Full mainsail & genoa at 7+ knots of speed! Perma station mode!!!"
26/4,21:00,"19°06.6'N","064°08.3'W",042,6.5,454,SSE10,1009,75,MGE,86,100,78,80,"Wide & blue"
27/4,00:13,"19°22.2'N","063°54.6'W",038,6.5,475,SSE10,1011,70,MGE,86,87,78,78,"Best sunset colours"
27/4,03:03,"19°33.9'N","063°43.7'W",041,6.0,491,SE10,1012,67,E,86,88,77,78,"Took the sails down, too much lightning and inconsistent wind"
27/4,06:02,"19°46.3'N","063°32.7'W",042,6.4,507,SE10,1011,65,ME,86,86,77,76,"Very calm"
27/4,09:00,"19°58.3'N","063°22.0'W",042,5.3,523,E9,1011,62,E,83,83,75,76,"Calm night, clear sky conditions"
27/4,12:00,"20°11.4'N","063°10.3'W",041,4.8,540,SE7,1005,59,E,82,83,75,73,"Calm ride morning"
27/4,15:00,"20°22.5'N","062°58.7'W",048,5.4,556,SSE10,1014,55,GE,80,80,69,73,"Calm morning - got to fix a line between the boomvang & sail"
27/4,18:28,"20°35.0'N","062°44.7'W",046,5.3,574,SSE10,1012,52,GE,80,80,69,69,"Amazing stars for almost 2 hours w/ almost no clouds"
27/4,21:00,"20°40.4'N","062°36.4'W",048,5.9,560,SE9,1013,50,GM,79,78,65,66,"Full sail up repaired the mainsail"
28/4,00:04,"20°53.9'N","062°21.4'W",046,6.7,605,SSE8,1013,48,GME,77,77,63,63,"Watch out of drinking trough water :)"
28/4,03:01,"21°07.3'N","062°06.2'W",048,6.7,625,SSE9,1006,54,GME,76,76,57,61,"Good progress, installed a protective line"
28/4,06:10,"21°18.7'N","061°52.7'W",047,5.0,642,S7,1013,67,E,74,75,56,58,"More thunder doesn't on the horizon line"
28/4,09:01,"21°28.9'N","061°41.1'W",050,5.3,658,S5,1014,65,E,74,74,54,60,"Very little wind and calm waters, sky covered by altostratus"
28/4,12:24,"21°41.4'N","061°26.9'W",046,5.5,676,E6,1011,64,EG,72,71,89,74,"We saw dolphin very calm"
28/4,15:33,"21°52.8'N","061°13.5'W",046,5.3,693,E9,1014,92,EG,69,71,88,90,"Light winds, high temp, very cloudy"
28/4,21:15,"22°12.9'N","060°50.8'W",034,5.3,722,S7,1014,90,E,67,68,81,83,""
29/4,00:00,"22°24.5'N","060°42.2'W",036,5.0,736,SW7,1014,89,E,65,69,77,82,"Calm morning, we have been playing cards and shared a nice cheese plate"
29/4,03:02,"22°39.4'N","060°30.9'W",035,6.1,754,E6,1012,"87%",E,62,69,74,82,"Super chill, almost full moon"
29/4,05:57,"22°53.8'N","060°19.9'W",035,6.0,772,SW9,1014,"82%",E,62,69,74,82,"Calm, lot of air traffic, full moon :)"
29/4,08:58,"23°08.8'N","060°08.6'W",034,6.0,751,W9,1010,"77%",E,55,63,76,82,"Calm"
29/4,12:40,"23°26.0'N","059°56.1'W",036,6.0,813,W9,1013,73,GE,57,62,75,78,"Easy morning"
29/4,15:06,"23°37.8'N","059°47.1'W",035,6.2,827,W10,1013,70,GE,57,66,69,73,"Consistent wind from west. Calm morning starts cloudy afternoon"
29/4,21:40,"24°07.2'N","059°26.5'W",038,5.4,865,W15N,1011,"61%",M1G,65,67,61,68,"Great sailing conditions, flat & +11kts (7.5kts max speed)"
30/4,00:01,"24°17.5'N","059°17.4'W",037,4.7,879,12NW,1011,"58%",M1G,57,62,57,66,"Great sailing in the beginning, in the end slowed down"
30/4,03:10,"24°32.1'N","059°04.1'W",029,5.9,897,NW10,1012,"55%",MGE,52,58,55,62,"Lots of wind shifts"
30/4,06:01,"24°47.3'N","058°55.4'W",035,5.2,914,W16,1010,52,MG,54,59,55,61,"Turned the engine off, constant wind around 16kts, optimal sailing cond."
30/4,09:00,"25°07.1'N","058°45.3'W",023,7.4,936,W18,1008,50,MG,45,58,55,59,"Full sail, a lot of wind, almost broke the hull (great lol)"
30/4,12:04,"25°22.1'N","058°30.9'W",048,6.2,958,W14,1011,"71%",M1G,54,60,52,58,"Lovely sunrise w/ great sailing conditions :)"
30/4,15:04,"25°34.0'N","058°13.0'W",039,5.7,978,MW10,1011,89,EG,54,60,86,80,"Big waves, currently work on the mainsail rigging"
30/4,18:50,"25°50.6'N","058°05.5'W",057,6.0,975,NW13,1014,87,MG,49,57,81,84,"Awesome fish for lunch ♡"
1/5,00:03,"26°14.5'N","057°43.5'W",051,5.7,1024,NW,1005,85,MG,45,55,79,87,"Full moon, funny games and chillig"
1/5,03:00,"26°21.0'N","057°34.2'W",057,6.3,1040,W14,1012,"80%",MG,47,54,76,74,"Reef 2 repaired & sailing w/ 14/16kts at 6kts"
